cu_purchase_dt,cu_start_dt,cu_cancel_dt,tenure,types,type_label,esc_ticket_cnt,doc_mgmnt,rec_acct,non_appt_ci,appt_ci,call_prep,days_diff_purdt_custartdt,y_pred
3/27/2021,4/9/2021,6/28/2021,536,1,Dissatisfied,0,28.9,26.2,3.5,0.4,2.7,13,2
3/2/2021,5/26/2021,3/28/2022,561,2,Potential_Loyalist,0,4.5,16.9,3.1,4.5,1.8,85,2
3/2/2021,5/26/2021,3/28/2022,561,2,Potential_Loyalist,0,4.5,16.9,3.1,4.5,1.8,85,2
5/25/2021,7/26/2021,12/20/2021,477,0,High_Maintenance,0,12,7.4,3.5,0.8,1.1,62,0
5/25/2021,7/26/2021,12/20/2021,477,0,High_Maintenance,0,12,7.4,3.5,0.8,1.1,62,0
5/3/2021,5/14/2021,8/24/2022,499,1,Dissatisfied,1,3.2,20.2,1.6,4.5,3.3,11,0
5/3/2021,5/14/2021,8/24/2022,499,1,Dissatisfied,1,3.2,20.2,1.6,4.5,3.3,11,0
8/5/2021,8/6/2021,6/22/2022,881,3,Loyalist,0,2.1,8.4,0.6,21.9,2.3,1,4
8/5/2021,8/6/2021,6/22/2022,881,3,Loyalist,0,2.1,8.4,0.6,21.9,2.3,1,4
4/29/2021,7/6/2021,8/10/2021,503,1,Dissatisfied,0,14.2,23.3,1.1,0.9,0.1,68,1
4/29/2021,7/6/2021,8/10/2021,503,1,Dissatisfied,0,14.2,23.3,1.1,0.9,0.1,68,1
7/20/2021,7/28/2021,3/8/2021,755,3,Loyalist,1,2.6,21,1.1,3.8,0.6,8,0
7/20/2021,7/28/2021,3/8/2021,755,3,Loyalist,1,2.6,21,1.1,3.8,0.6,8,0
1/30/2021,2/22/2021,11/12/2021,592,3,Loyalist,0,6.4,2,0.2,1.2,0.7,23,3
1/30/2021,2/22/2021,11/12/2021,592,3,Loyalist,0,6.4,2,0.2,1.2,0.7,23,3
4/6/2022,5/11/2021,3/21/2022,511,1,Dissatisfied,6,52.7,23.3,5.2,9.5,5.6,330,1
4/21/2021,5/11/2021,3/21/2022,511,1,Dissatisfied,6,52.7,23.3,5.2,9.5,5.6,20,1
4/6/2022,5/11/2021,3/21/2022,511,1,Dissatisfied,6,52.7,23.3,5.2,9.5,5.6,330,1
4/21/2021,5/11/2021,3/21/2022,511,1,Dissatisfied,6,52.7,23.3,5.2,9.5,5.6,20,1
1/6/2021,4/22/2021,2/7/2022,616,3,Loyalist,2,105.9,833.5,99.2,50.1,9.5,106,3
3/25/2022,4/22/2021,2/7/2022,616,3,Loyalist,2,105.9,833.5,99.2,50.1,9.5,337,3
1/6/2021,4/22/2021,2/7/2022,616,3,Loyalist,2,105.9,833.5,99.2,50.1,9.5,106,3
3/25/2022,4/22/2021,2/7/2022,616,3,Loyalist,2,105.9,833.5,99.2,50.1,9.5,337,3
2/2/2022,7/22/2021,1/21/2022,474,0,High_Maintenance,0,14.7,51.9,22.1,12.8,11.1,195,0
